Título,Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito al consumo,"Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito al consumo, bancario","Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito al consumo, no bancario","Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito al consumo, No bancario, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito al consumo, No bancario, Otras Fuentes Alternativas de Financiamiento del País",Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito a la vivienda,"Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito a la vivienda, bancario","Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito a la vivienda, no bancario","Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito a la vivienda, No bancario, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito a la vivienda, No bancario, Otras Fuentes Alternativas de Financiamiento del País",Financiamiento bancario y principales fuentes altern endeud sec privado del país Finan emp y pers físicas c/activ empres,"Financiamiento bancario y principales fuentes altern endeud sec privado del país Bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, Del extranjero","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial","Financiamiento bancario y principales fuentes altern endeud sec privado del paísProductos alimenticios, bebidas y tabaco, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del paísProd aliment, bebidas y tabaco, bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod alimen, bebidas y tabaco,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod alimen, bebidas y tabaco,, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod alimen, bebidas y tabaco,, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, del extranjero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod alimen, bebidas y tabaco,","Financiamiento bancario y principales fuentes altern endeud sec privado del paísTextiles, prendas vestir e ind del cuero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del paísText, prendas vestir/ind cuero, bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país , No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, textiles prend vestir ind cuero","Financiamiento bancario y principales fuentes altern endeud sec privado del país , No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, textiles prend vestir ind cuero, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país , No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, textiles prend vestir ind cuero, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país , No bancarios, del extranjero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, textiles prend vestir ind cuero","Financiamiento bancario y principales fuentes altern endeud sec privado del paísProductos metálicos, maquinaria y equipo, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Prod metálicos, maq y equipo, bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod metálicos, maq y equipo,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod metálicos, maq y equipo, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod metálicos, maq y equipo, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, del extranjero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, prod metálicos, maq y equipo,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Industria metálica básica, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Industria metálica básica, bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria metálica básica,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria metálica básica,, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria metálica básica,, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, del extranjero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria metálica básica,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Industria de la construcción, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Industria de la construcción, bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria de la construcción,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria de la construcción, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria de la construcción, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, del extranjero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, industria de la construcción,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Servicios y comercio, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Servicios y comercio, bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, servicios y comercio,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, servicios y comercio, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, servicios y comercio, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, del extranjero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, servicios y comercio,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Otras actividades, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Otras actividades, bancario, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, otras actividades,","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, otras actividades, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, otras actividades, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país No bancarios, del extranjero, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No banc, otras actividades,","Financiamiento bancario y principales fuentes altern endeud sec privado del paísFinanciamiento proveniente del extranjer, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,","Financiamiento bancario y principales fuentes altern endeud sec privado del país Uniones de crédito, Clasif p/ramas actividad, financ a emp y pers físicas con actividad empresarial, No bancario,",Financiamiento bancario y principales fuentes altern endeud sec privado del país Financiamiento,"Financiamiento bancario y principales fuentes altern endeud sec privado del país Financiamiento, bancario","Financiamiento bancario y principales fuentes altern endeud sec privado del país Financiamiento, no bancario","Financiamiento bancario y principales fuentes altern endeud sec privado del país Financiamiento, no bancario, De Intermediarios Financieros del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país Financiamiento, no bancario, Otras Fuentes Alternativas de Financiamiento del País","Financiamiento bancario y principales fuentes altern endeud sec privado del país Financiamiento, no bancario, Del extranjero","Financiamiento total al sector privado no financiero, Financiamiento total, interno, Total de endeudamiento no bancario de emisoras","Financiamiento total al sector privado no financiero, Financiamiento total, interno, Emision interna de instrumentos de deuda","Financiamiento total al sector privado no financiero, Financiamiento total, interno, Emision interna de instrumentos de deuda de emisoras","Financiamiento total al sector privado no financiero, Financiamiento total, interno, Emision interna de instrumentos de deuda de no emisoras","Financiamiento total al sector privado no financiero, Financiamiento total, interno, Proveedores de Emisoras"
Periodo disponible,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Oct-Dic 1994 - Oct-Dic 2021,Ene-Mar 1994 - Oct-Dic 2021
Periodicidad,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral,Trimestral
Cifra,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos Nominales,Saldos,Saldos,Saldos Nominales,Saldos Nominales,Saldos Nominales
Unidad,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos,Millones de Pesos
Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF17926,SF17927,SF17928,SF46380,SF46381,SF17929,SF17930,SF17931,SF46382,SF46383,SF17932,SF17933,SF17934,SF46384,SF46385,SF46386,SF41075,SF17935,SF17936,SF17937,SF46387,SF46388,SF39829,SF17938,SF17939,SF17940,SF46389,SF46390,SF39831,SF17941,SF17942,SF17943,SF46391,SF46392,SF39833,SF17944,SF17945,SF17946,SF46393,SF46394,SF39835,SF17947,SF17948,SF17949,SF46395,SF46396,SF39837,SF17950,SF17951,SF17952,SF46397,SF46398,SF39839,SF17953,SF17954,SF17955,SF46399,SF46400,SF39841,SF17956,SF17957,SF17958,SF17959,SF46401,SF46402,SF46403,SF46404,SF40942,SF40658,SF46413,SF46414,SF42789
